,Stage 50,Stage 49,Stage 48,Stage 47,Stage 46,Stage 45,Stage 44,Stage 43,Stage 42,Stage 41,Stage 40,Stage 39,Stage 38,Stage 37,Stage 36,Stage 35,Stage 34,Stage 33,Stage 32,Stage 31,Stage 30,Stage 29,Stage 28,Stage 27,Stage 26,Stage 25,Stage 24,Stage 23,Stage 22,Stage 21,Stage 20,Stage 19,Stage 18,Stage 17,Stage 16,Stage 15,Stage 14,Stage 13,Stage 12,Stage 11,Stage 10,Stage 9,Stage 8,Stage 7,Stage 6,Stage 5,Stage 4,Stage 3,Stage 2,Stage 1
"(0, 0)",131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,131585.3340301959,182400.5029528959,182400.5029528959,182400.5029528959,182400.5029528959,182400.5029528959,182400.5029528959,284419.6868268837,284419.6868268837,284419.6868268837,284419.6868268837,284419.6868268837,284419.6868268837,276776.9421937237,276776.9421937237,276776.9421937237,276776.9421937237,276776.9421937237,276776.9421937237,273806.6968682382,273806.6968682382
"(0, 4)",273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,273806.6968682382,304876.5186559539,304876.5186559539,304876.5186559539,304876.5186559539,304876.5186559539,304876.5186559539,370302.9423879241,370302.9423879241,370302.9423879241,370302.9423879241,370302.9423879241,370302.9423879241,359100.1996185242,359100.1996185242,359100.1996185242,359100.1996185242,359100.1996185242,359100.1996185242,345530.7774398632,345530.7774398632,345530.7774398632,345530.7774398632,345530.7774398632,345530.7774398632,345530.7774398633,345530.7774398633,345530.7774398633,345530.7774398633,345530.7774398633,345530.7774398633,345530.7774398633,345530.7774398633,345530.7774398633,345530.7774398633
"(0, 8)",345530.7774398633,345530.7774398633,349258.4366562814,349258.4366562814,349258.4366562814,349258.4366562814,349258.4366562814,349258.4366562814,383048.3794202928,383048.3794202928,383048.3794202928,383048.3794202928,383048.3794202928,383048.3794202928,370512.0264065628,370512.0264065628,370512.0264065628,370512.0264065628,370512.0264065628,370512.0264065628,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,361930.6899042131,380622.6061495646,380622.6061495646,380622.6061495646,380622.6061495646,380622.6061495646,380622.6061495646,394645.0565153245,394645.0565153245,394645.0565153245,394645.0565153245,394645.0565153245,394645.0565153245
"(0, 12)",383615.0198030844,383615.0198030844,383615.0198030844,383615.0198030844,383615.0198030844,383615.0198030844,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,370975.5982775877,377493.2594534983,377493.2594534983,377493.2594534983,377493.2594534983,377493.2594534983,377493.2594534983,387824.8040535385,387824.8040535385,387824.8040535385,387824.8040535385,387824.8040535385,387824.8040535385,374654.6938930585,374654.6938930585,374654.6938930585,374654.6938930585,374654.6938930585,374654.6938930585,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773
"(0, 16)",366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,366512.2516911773,386520.8508379342,386520.8508379342,386520.8508379342,386520.8508379342,386520.8508379342,386520.8508379342,386496.5313140744,386496.5313140744,386496.5313140744,386496.5313140744,386496.5313140744,386496.5313140744,373439.2820153444,373439.2820153444,373439.2820153444,373439.2820153444,373439.2820153444,373439.2820153444,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,362258.2702116814,373151.1605530931,373151.1605530931,373151.1605530931,373151.1605530931
"(0, 20)",373151.1605530931,373151.1605530931,377136.4169843526,377136.4169843526,377136.4169843526,377136.4169843526,377136.4169843526,377136.4169843526,362548.8901550226,362548.8901550226,362548.8901550226,362548.8901550226,362548.8901550226,362548.8901550226,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,353986.2529903869,372734.2672488799,372734.2672488799,372734.2672488799,372734.2672488799,372734.2672488799,372734.2672488799,376256.5001394041,376256.5001394041,376256.5001394041,376256.5001394041,376256.5001394041,376256.5001394041,359952.0991547141,359952.0991547141,359952.0991547141,359952.0991547141,359952.0991547141,359952.0991547141
"(9, 0)",351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,351213.359578696,369433.066603042,369433.066603042,369433.066603042,369433.066603042,369433.066603042,369433.066603042,367833.5189461505,367833.5189461505,367833.5189461505,367833.5189461505,367833.5189461505,367833.5189461505,350381.9500022504,350381.9500022504,350381.9500022504,350381.9500022504,350381.9500022504,350381.9500022504,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645
"(9, 4)",341455.4231079645,341455.4231079645,341455.4231079645,341455.4231079645,358278.3341215064,358278.3341215064,358278.3341215064,358278.3341215064,358278.3341215064,358278.3341215064,356697.2447096833,356697.2447096833,356697.2447096833,356697.2447096833,356697.2447096833,356697.2447096833,340526.5404381434,340526.5404381434,340526.5404381434,340526.5404381434,340526.5404381434,340526.5404381434,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,321898.7835171108,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386
"(9, 8)",237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,237038.5381708386,239595.3824730281,239595.3824730281,239595.3824730281,239595.3824730281,239595.3824730281,239595.3824730281,252473.0961855281,252473.0961855281,252473.0961855281,252473.0961855281,252473.0961855281,252473.0961855281,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367,192375.1614901367
"(9, 12)",202136.8736257667,202136.8736257667,202136.8736257667,202136.8736257667,202136.8736257667,202136.8736257667,264242.8746673968,264242.8746673968,264242.8746673968,264242.8746673968,264242.8746673968,264242.8746673968,351058.9221673969,351058.9221673969,351058.9221673969,351058.9221673969,351058.9221673969,351058.9221673969,332713.1645821509,332713.1645821509,332713.1645821509,332713.1645821509,332713.1645821509,332713.1645821509,311346.7513771958,311346.7513771958,311346.7513771958,311346.7513771958,311346.7513771958,311346.7513771958,282408.0688771958,282408.0688771958,282408.0688771958,282408.0688771958,282408.0688771958,282408.0688771958,253469.3863771958,253469.3863771958,253469.3863771958,253469.3863771958,253469.3863771958,253469.3863771958,237992.8992797496,237992.8992797496,237992.8992797496,237992.8992797496,237992.8992797496,237992.8992797496,237992.8992797496,237992.8992797496
"(9, 16)",237992.8992797496,237992.8992797496,237992.8992797496,237992.8992797496,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,204333.4965067624,210804.5056283266,210804.5056283266,210804.5056283266,210804.5056283266,210804.5056283266,210804.5056283266,238621.0103291598,238621.0103291598,238621.0103291598,238621.0103291598,238621.0103291598,238621.0103291598,197005.4050302052,197005.4050302052,197005.4050302052,197005.4050302052,197005.4050302052,197005.4050302052,193156.1200210309,193156.1200210309,193156.1200210309,193156.1200210309
"(9, 20)",193156.1200210309,193156.1200210309,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,198482.0458574775,198482.0458574775,198482.0458574775,198482.0458574775,198482.0458574775,198482.0458574775,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685
"(18, 0)",187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,265738.5313754482,265738.5313754482,265738.5313754482,265738.5313754482,265738.5313754482,265738.5313754482,304596.9751154876,304596.9751154876,304596.9751154876,304596.9751154876,304596.9751154876,304596.9751154876,287762.6489768577,287762.6489768577,287762.6489768577,287762.6489768577,287762.6489768577,287762.6489768577,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,281247.5097535381,281247.5097535381,281247.5097535381,281247.5097535381,281247.5097535381,281247.5097535381,306012.1789796842,306012.1789796842
"(18, 4)",306012.1789796842,306012.1789796842,306012.1789796842,306012.1789796842,290774.1877375743,290774.1877375743,290774.1877375743,290774.1877375743,290774.1877375743,290774.1877375743,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,296577.358201574,296577.358201574,296577.358201574,296577.358201574,296577.358201574,296577.358201574,308501.6489373657,308501.6489373657,308501.3724817162,308501.3724817162,308501.3724817162,308501.3724817162,292019.4486873957,292019.4486873957,292003.3790201004,292003.3790201004,292003.3790201004,292003.3790201004,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758
"(18, 8)",277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277208.090795156,277208.090795156,277208.090795156,277208.090795156,277208.090795156,277208.090795156,255405.0592541495,255405.0592541495,255405.0592541495,255405.0592541495,255405.0592541495,255405.0592541495,248334.5888572606,248334.5888572606,248260.9166536551,248260.9166536551,248260.9166536551,248260.9166536551,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784
"(18, 12)",253865.5384939983,253865.5384939983,253865.5384939983,253865.5384939983,253865.5384939983,253865.5384939983,245252.6315344361,245252.6315344361,245252.6315344361,245252.6315344361,245252.6315344361,245252.6315344361,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,281221.1745280863,281221.1745280863,281221.1745280863,281221.1745280863,281221.1745280863,281221.1745280863,296472.7870731165,296472.7870731165,296472.7870731165,296472.7870731165,296472.7870731165,296472.7870731165,283889.4762239165,283889.4762239165
"(18, 16)",283783.5482875527,283783.5482875527,283783.5482875527,283783.5482875527,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,272627.9433896706,272627.9433896706,272627.9433896706,272627.9433896706,272627.9433896706,272627.9433896706,294209.2424235227,294209.2424235227,294209.2424235227,294209.2424235227,294209.2424235227,294209.2424235227,284517.3689749927,284517.3689749927,284467.2685916754,284467.2685916754,284467.2685916754,284467.2685916754,266027.5503316118,266027.5503316118,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119
