,Stage 50,Stage 49,Stage 48,Stage 47,Stage 46,Stage 45,Stage 44,Stage 43,Stage 42,Stage 41,Stage 40,Stage 39,Stage 38,Stage 37,Stage 36,Stage 35,Stage 34,Stage 33,Stage 32,Stage 31,Stage 30,Stage 29,Stage 28,Stage 27,Stage 26,Stage 25,Stage 24,Stage 23,Stage 22,Stage 21,Stage 20,Stage 19,Stage 18,Stage 17,Stage 16,Stage 15,Stage 14,Stage 13,Stage 12,Stage 11,Stage 10,Stage 9,Stage 8,Stage 7,Stage 6,Stage 5,Stage 4,Stage 3,Stage 2,Stage 1
"(18, 20)",266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316118,266027.5503316118,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,270295.8813748201,270295.8813748201,270295.8813748201,270295.8813748201,270295.8813748201,270295.8813748201
"(27, 0)",254870.2732079539,254870.2732079539,254870.2732079539,254870.2732079539,254870.2732079539,254870.2732079539,244791.2687829695,244791.2687829695,244791.2687829695,244791.2687829695,244791.2687829695,244791.2687829695,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.1448281509,242751.1448281509,242751.1448281509,242751.1448281509,242751.1448281509,242751.1448281509,278489.7000363246,278489.7000363246,278489.7000363246,278489.7000363246,278489.7000363246,278489.7000363246,303927.6272583855,303927.6272583855,303927.6272583855,303927.6272583855,303927.6272583855,303927.6272583855,283497.6312342205,283497.6312342205,283497.6312342205,283497.6312342205,283497.6312342205,283497.6312342205,277484.4702574346,277484.4702574346
"(27, 4)",277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,303880.9130794768,303880.9130794768,303880.9130794768,303880.9130794768,303880.9130794768,303880.9130794768,311936.3571947233,311936.3571947233,311936.3571947233,311936.3571947233,311936.3571947233,311936.3571947233,302357.6532872232,302357.6532872232,302357.6532872232,302357.6532872232,302357.6532872232,302357.6532872232,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044
"(27, 8)",273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,306685.7183449572,306685.7183449572,306685.7183449572,306685.7183449572,306685.7183449572,306685.7183449572,313449.9806532421,313449.9806532421,313449.9806532421,313449.9806532421,313449.9806532421,313449.9806532421
"(27, 12)",303323.5253633821,303323.5253633821,303323.5253633821,303323.5253633821,303323.5253633821,303323.5253633821,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.299780072,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,284716.2997800721,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058,230383.443564058
"(27, 16)",230383.443564058,230383.443564058,230383.443564058,230383.443564058,231287.4301279931,231287.4301279931,231287.4301279931,231287.4301279931,231287.4301279931,231287.4301279931,313474.3880979287,313474.3880979287,313474.3880979287,313474.3880979287,313474.3880979287,313474.3880979287,318592.7396046579,318592.7396046579,318592.7396046579,318592.7396046579,318592.7396046579,318592.7396046579,302241.9981430579,302241.9981430579,302241.9981430579,302241.9981430579,302241.9981430579,302241.9981430579,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858,287122.5320274858
"(27, 20)",287122.5320274858,287122.5320274858,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,206493.7560380964,207248.5264764545,207248.5264764545,207248.5264764545,207248.5264764545,207248.5264764545,207248.5264764545,227704.1363171377,227704.1363171377,227704.1363171377,227704.1363171377,227704.1363171377,227704.1363171377,260379.1242688043,260379.1242688043,260379.1242688043,260379.1242688043,260379.1242688043,260379.1242688043,196863.0849159297,196863.0849159297,196863.0849159297,196863.0849159297,196863.0849159297,196863.0849159297,188628.3199301338,188628.3199301338,188628.3199301338,188628.3199301338,188628.3199301338,188628.3199301338
"(36, 0)",177736.6572795783,177736.6572795783,177736.6572795783,177736.6572795783,177736.6572795783,177736.6572795783,172114.4912003371,172114.4912003371,172114.4912003371,172114.4912003371,172114.4912003371,172114.4912003371,172114.4912003371,172114.4912003372,172114.4912003372,172114.4912003372,172114.4912003372,172114.4912003372,172114.4912003371,172114.4912003372,172114.4912003372,172114.4912003371,172114.4912003372,172114.4912003372,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,164713.8384168258,166086.3331329645,166086.3331329645
"(36, 4)",166086.3331329645,166086.3331329645,166086.3331329645,166086.3331329645,169716.8873498163,169716.8873498163,169716.8873498163,169716.8873498163,169716.8873498163,169716.8873498163,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,154996.5082842696,179605.5008633497,179605.5008633497,179605.5008633497,179605.5008633497,179605.5008633497,179605.5008633497,237482.8658633497,237482.8658633497,237482.8658633497,237482.8658633497,237482.8658633497,237482.8658633497,262197.6269316134,262197.6269316134,262197.6269316134,262197.6269316134
"(36, 8)",262197.6269316134,262197.6269316134,254733.5304317534,254733.5304317534,254733.5304317534,254733.5304317534,254733.5304317534,254733.5304317534,235441.0754317534,235441.0754317534,235441.0754317534,235441.0754317534,235441.0754317534,235441.0754317534,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.5517602309,218699.551760231,218699.551760231,218699.551760231,218699.551760231,218699.551760231,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226
"(36, 12)",239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239049.1652227226,239143.1580634827,239143.1580634827,239143.1580634827,239143.1580634827,239143.1580634827,239143.1580634827,320520.1223102434,320520.1223102434,320520.1223102434,320520.1223102434,320520.1223102434,320520.1223102434,348300.44172427,348300.44172427,348300.44172427,348300.44172427,348300.44172427,348300.44172427,336841.0707184601,336841.0707184601,336841.0707184601,336841.0707184601,336841.0707184601,336841.0707184601,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653,317783.09621653
"(36, 16)",317783.09621653,317783.09621653,317783.09621653,317783.09621653,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,260511.5636952645,337712.9075667356,337712.9075667356,337712.9075667356,337712.9075667356,337712.9075667356,337712.9075667356,365902.082090041,365902.082090041,365902.082090041,365902.082090041,365902.082090041,365902.082090041,354016.849432561,354016.849432561,354016.849432561,354016.849432561
"(36, 20)",354016.849432561,354016.849432561,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,336807.9409876509,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226
"(45, 0)",280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,280845.8338723226,358059.3319904435,358059.3319904435,358059.3319904435,358059.3319904435,358059.3319904435,358059.3319904435,374958.6003398026,374958.6003398026,374958.6003398026,374958.6003398026,374958.6003398026,374958.6003398026,362466.3498782026,362466.3498782026,362466.3498782026,362466.3498782026,362466.3498782026,362466.3498782026,345860.4078218624,345860.4078218624,345860.4078218624,345860.4078218624,345860.4078218624,345860.4078218624,345860.4078218626,345860.4078218626,345860.4078218626,345860.4078218626,345860.4078218626,345860.4078218626,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,345860.4078218625,294288.4796566715,294288.4796566715
"(45, 4)",294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,294288.4796566715,371899.2480081524,371899.2480081524,371899.2480081524,371899.2480081524,371899.2480081524,371899.2480081524,393551.5108341626,393551.5108341626,393551.5108341626,393551.5108341626,393551.5108341626,393551.5108341626,382975.5799277126,382975.5799277126,382975.5799277126,382975.5799277126,382975.5799277126,382975.5799277126,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025
"(45, 8)",364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,364320.8949051025,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048,312251.4745034048
"(45, 12)",390411.6148034658,390411.6148034658,390411.6148034658,390411.6148034658,390411.6148034658,390411.6148034658,403478.7891721712,403478.7891721712,403478.7891721712,403478.7891721712,403478.7891721712,403478.7891721712,392805.1612736012,392805.1612736012,392805.1612736012,392805.1612736012,392805.1612736012,392805.1612736012,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056852,373412.0744056852,373412.0744056852,373412.0744056852,373412.0744056852,373412.0744056852,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,373412.0744056851,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498
"(45, 16)",314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314401.6185429498,314889.9298714551,314889.9298714551,314889.9298714551,314889.9298714551,314889.9298714551,314889.9298714551,396661.2126059607,396661.2126059607,396661.2126059607,396661.2126059607,396661.2126059607,396661.2126059607,401562.4641373496,401562.4641373496,401562.4641373496,401562.4641373496,401562.4641373496,401562.4641373496,390410.3061849597,390410.3061849597,390410.3061849597,390410.3061849597,390410.3061849597,390410.3061849597,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397
"(45, 20)",368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,368387.3256008397,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310748.7848377717,310962.2365598918,310962.2365598918,310962.2365598918,310962.2365598918,310962.2365598918,310962.2365598918,392458.6596880124,392458.6596880124,392458.6596880124,392458.6596880124,392458.6596880124,392458.6596880124
